kind,type,attr,present,present %,total
ist,MaLo,direction,2761,100.0%,2761
ist,MaLo,direction_hint,0,0.0%,2761
ist,MeLo,direction_hint,0,0.0%,2624
ist,MeLo,dynamic,0,0.0%,2624
ist,MeLo,function,0,0.0%,2624
ist,MeLo,melo_function,0,0.0%,2624
ist,MeLo,voltage_level,0,0.0%,2624
ist,TR,direction,36,100.0%,36
ist,TR,tr_direction,0,0.0%,36
