kind,E_per_N_mean,avg_deg_mean,density_mean,density_med,graphs,isolated_pct_mean
ist,0.520101,1.040202,0.961373,1.0,2521,0.0
soll,0.612962,1.225924,0.19842,0.177778,15,21.4608
